university,cs department
Carnegie Mellon University,scs.cmu.edu
Massachusetts Institute of Technology,eecs.mit.edu
Stanford University,cs.stanford.edu
University of California—​Berkeley,eecs.berkeley.edu
University of Illinois—​Urbana-​Champaign,cs.illinois.edu
Cornell University,cs.cornell.edu
University of Washington,cs.washington.edu
Georgia Institute of Technology,cc.gatech.edu
Princeton University,cs.princeton.edu
University of Texas—​Austin,cs.utexas.edu
California Institute of Technology,cms.caltech.edu
University of Michigan—​Ann Arbor,cse.umich.edu
Columbia University,cs.columbia.edu
University of California—​Los Angeles,cs.ucla.edu
University of Wisconsin—​Madison,cs.wisc.edu
Harvard University,seas.harvard.edu/computer-science
University of California—​San Diego,cse.ucsd.edu
University of Maryland—​College Park,cs.umd.edu
University of Pennsylvania,cis.upenn.edu
Purdue University—​West Lafayette,cs.purdue.edu
Rice University,csweb.rice.edu
University of Massachusetts—​Amherst,cics.umass.edu
University of Southern California,cs.usc.edu
Yale University,cpsc.yale.edu
Brown University,cs.brown.edu
Duke University,cs.duke.edu
Johns Hopkins University,cs.jhu.edu
University of North Carolina—​Chapel Hill,cs.unc.edu
University of Minnesota—​Twin Cities,cs.umn.edu
New York University,cs.nyu.edu
Northwestern University,mccormick.northwestern.edu/eecs/computer-science
Ohio State University,cse.osu.edu
Pennsylvania State University—​University Park,eecs.psu.edu
University of California—​Irvine,ics.uci.edu
University of Chicago,cs.uchicago.edu
University of Virginia,engineering.virginia.edu/departments/computer-science
Rutgers The State University of New Jersey—​New Brunswick,cs.rutgers.edu
University of California—​Davis,cs.ucdavis.edu
University of California—​Santa Barbara,cs.ucsb.edu
Stony Brook University—​SUNY,cs.stonybrook.edu
Virginia Tech,cs.vt.edu
Arizona State University,cidse.engineering.asu.edu
Dartmouth College,web.cs.dartmouth.edu
North Carolina State University,csc.ncsu.edu
University of Arizona,cs.arizona.edu
University of Utah,cs.utah.edu
Northeastern University,ccis.northeastern.edu
